business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
XsXLVWr1UZWVhKThNvNiaA|2022-07-20 04:03:51.305103|Blue Willow 夜来湘|['40 W 56th St', 'New York, NY 10019']|40.76292,-73.976546|529|4.5|10019|Chinese
h0pRCiJDrCN7tm3VX5tILQ|2022-07-20 04:03:51.305168|CHILI|['13 E 37th St', 'New York, NY 10016']|40.75002,-73.98215|377|5.0|10016|Chinese
0CjK3esfpFcxIopebzjFxA|2022-07-20 04:03:51.305187|Joe's Shanghai|['46 Bowery St', 'New York, NY 10013']|40.7156608,-73.9967012|6776|4.0|10013|Chinese
UK1oGbr8GU2rufpnJR4-HQ|2022-07-20 04:03:51.305203|Joe's Home of Soup Dumplings|['7 E 48th St', 'between Fifth and Madison avenues', 'New York, NY 10017']|40.75723,-73.97702|262|4.5|10017|Chinese
BNaveJmi-OUGKG9sRfrIhA|2022-07-20 04:03:51.305219|Mr. Sun|['48 W 48th St', 'New York, NY 10036']|40.75809,-73.98026|132|4.5|10036|Chinese
EmJ7rfmv2y6lQZxgA8U__g|2022-07-20 04:03:51.305233|Red Peony Chinese Cuisine|['24 W 56th St', 'New York, NY 10019']|40.76278,-73.97589|495|4.5|10019|Chinese
ZWP7yq9C2bhCcLkMR9BmVw|2022-07-20 04:03:51.305247|Mala Project|['245 East 53rd St', 'New York, NY 10022']|40.75712551924447,-73.96767713374987|32|4.5|10022|Chinese
xq0cX_DgxiJMXwhmEl9kUA|2022-07-20 04:03:51.305262|Café China|['59 W 37th St', 'New York, NY 10018']|40.75157,-73.98584|1779|4.0|10018|Chinese
oowNI_aUmGEFa_VW8BFgRg|2022-07-20 04:03:51.305275|Tri Dim Shanghai|['1378 3rd Ave', 'New York, NY 10075']|40.773951,-73.957927|465|4.0|10075|Chinese
FXhSEZfIqjMZh4hR0_8jMQ|2022-07-20 04:03:51.305289|China Xiang 中国湘|['360 W 42nd Street', 'New York, NY 10036']|40.7582902125633,-73.9925113993899|521|4.0|10036|Chinese
4FD0TAxe70nb3ngk3sXF9Q|2022-07-20 04:03:51.305305|Uluh|['152 2nd Ave', 'Ste A', 'New York, NY 10003']|40.7293403,-73.9866071|691|4.5|10003|Chinese
wfhMIiMh2A2psCGONOVSlg|2022-07-20 04:03:51.305324|Han Dynasty|['90 3rd Ave', 'New York, NY 10003']|40.732072,-73.988074|1318|4.0|10003|Chinese
bVkjBJlAIwKAj9Aw1KVWjA|2022-07-20 04:03:51.305340|Dim Sum Palace|['334 W 46th St', 'New York, NY 10036']|40.76015,-73.9893699|1505|4.0|10036|Chinese
LT0yyLNM84EiJj9DL0rfHA|2022-07-20 04:03:51.305353|Hui Restaurant & Bar|['314 E 70th St', 'New York, NY 10021']|40.76701,-73.95846|236|4.5|10021|Chinese
xCHApgtkLpEyh0lz-uhZvg|2022-07-20 04:03:51.305367|Szechuan Garden|['239 W 105th St', 'New York, NY 10025']|40.80053,-73.967586|355|4.0|10025|Chinese
l1nX-f46dmOEmYPoiuLSaw|2022-07-20 04:03:51.305380|Peking Duck House|['236 E 53rd St', 'New York, NY 10022']|40.756912,-73.968109|489|3.5|10022|Chinese
ojbH3wnRu050hRhkmoxRiA|2022-07-20 04:03:51.305393|Han Dynasty|['215 W 85th St', 'New York, NY 10024']|40.78752,-73.97647|657|4.0|10024|Chinese
R3UNnA8EbjhNWBHS0wJ0VA|2022-07-20 04:03:51.305406|Grand Sichuan Eastern|['1049 2nd Ave', 'New York, NY 10022']|40.75831,-73.96636|265|3.5|10022|Chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ|2022-07-20 04:03:51.305420|Shun Lee Palace|['155 E 55th St', 'New York, NY 10022']|40.75945,-73.96907|316|3.0|10022|Chinese
E_Rxnmim6J2ECFtU0QGlsQ|2022-07-20 04:03:51.305432|Uncle Lou|['73 Mulberry St', 'New York, NY 10013']|40.71623,-73.99925|181|4.0|10013|Chinese
nI1UYDCYUTt23TpGxqnLKg|2022-07-20 04:03:51.305445|Buddakan|['75 9th Ave', 'New York, NY 10011']|40.7422762672197,-74.0048000961542|4331|4.0|10011|Chinese
6YehBdKHcLDsvaewhcEjFQ|2022-07-20 04:03:51.305460|Hey Yuet|['251 W 26th St', 'New York, NY 10001']|40.74703,-73.99645|115|4.5|10001|Chinese
jc7lVTvmYMIK5RNpENtS6w|2022-07-20 04:03:51.305472|Szechuan Mountain House|['23 St Marks Pl', 'New York, NY 10003']|40.72911,-73.98858|512|4.5|10003|Chinese
0dDCDQz7DrKkSvu9h2hcQw|2022-07-20 04:03:51.305486|Chow House|['181 Bleecker St', 'New York, NY 10012']|40.72915,-74.00072|529|4.5|10012|Chinese
1dFOF1HPaThSCsdiqR7DrA|2022-07-20 04:03:51.305499|Land of Plenty|['204E 58th St', 'New York, NY 10022']|40.76063,-73.96664|348|3.5|10022|Chinese
8plXW6ZQI1awPu1scms3jQ|2022-07-20 04:03:51.305512|Silky Kitchen|['138 W 46th St', 'New York, NY 10036']|40.757888,-73.984006|51|4.5|10036|Chinese
sBCJYLPNJuagg-aJ3Y_ozQ|2022-07-20 04:03:51.305526|Cheli|['19 St Marks Pl', 'Ste 23', 'New York, NY 10003']|40.72925,-73.9886|197|4.0|10003|Chinese
lynQoI3w_pzYfHGeuUU-Qg|2022-07-20 04:03:51.305539|Shu Jiao Fu Zhou|['295 Grand St', 'New York, NY 10002']|40.7174109,-73.9920876|1050|4.5|10002|Chinese
Bb0h5Rs8ugSM2CjulRhfBw|2022-07-20 04:03:51.305552|Spicy Moon East Village|['328 E 6th St', 'New York, NY 10003']|40.72674,-73.98722|537|4.5|10003|Chinese
BPErPpKSNluwcjbKRgze3w|2022-07-20 04:03:51.305566|Xi'an Famous Foods|['328 E 78th St', 'New York, NY 10075']|40.77197,-73.95452|616|4.0|10075|Chinese
6dVXDdgzDEVt4DvHzpWo9w|2022-07-20 04:03:51.305579|Tang Pavilion|['65 W 55th St', 'New York, NY 10019']|40.762849,-73.977189|327|3.5|10019|Chinese
53lgp8fFEuK3Yo7yeXc89A|2022-07-20 04:03:51.305592|Tim Ho Wan - Hell's Kitchen|['610 9th Ave', 'New York, NY 10036']|40.75935,-73.99175|513|4.0|10036|Chinese
3oB2_2vpeIyxJt1GvlcZBA|2022-07-20 04:03:51.305605|Baodega|['7 W 20th St', 'New York, NY 10011']|40.74014,-73.99178|247|4.0|10011|Chinese
NN3mOWF5e_pnR1ArqM2bHQ|2022-07-20 04:03:51.305618|OBAO|['647 9th Ave', 'New York, NY 10036']|40.7606544,-73.991332|3420|4.0|10036|Chinese
Ece_DRuD1yQjRPJBAebRpw|2022-07-20 04:03:51.305631|Kung Fu Little Steamed Buns Ramen|['146 E 55th St', 'New York, NY 10022']|40.7592514705491,-73.9694294705987|357|3.5|10022|Chinese
A-ert0jDRBfku9ogyW_mEg|2022-07-20 04:03:51.305646|Spice Symphony|['150 E 50th St', 'New York, NY 10022']|40.7558937072754,-73.9715347290039|580|4.5|10022|Chinese
M-odQWSEfsR2mVEw7nKG-g|2022-07-20 04:03:51.305660|Nyonya|['199 Grand St', 'New York, NY 10013']|40.719116974367,-73.9968322948353|2246|4.0|10013|Chinese
-J8VuX3wGrYSOBu2G0hMsw|2022-07-20 04:03:51.305674|Katsu-Hama|['11 E 47th St', 'New York, NY 10017']|40.75638,-73.97759|1474|4.0|10017|Chinese
wDuf4Qz9qsC62amLZgWNJQ|2022-07-20 04:03:51.305687|Little Alley|['550 3rd Ave', 'New York, NY 10016']|40.74744,-73.97728|449|4.0|10016|Chinese
croh2zWlbPyCQTNS11klcg|2022-07-20 04:03:51.305700|China River 川聚院|['258 W 44th St', 'New York, NY 10036']|40.75821,-73.98833|244|4.0|10036|Chinese
pCfGgX0WxGASGM4-Yhr2Pw|2022-07-20 04:03:51.305714|Hao Noodle Chelsea|['343 W 14th St', 'New York, NY 10014']|40.7406999,-74.00436|517|4.5|10014|Chinese
1jAB_uaI8-P_wSqOo2S3KQ|2022-07-20 04:03:51.305727|Mazu Szechuan|['495 3rd Ave', 'New York, NY 10016']|40.745234,-73.97812|97|4.5|10016|Chinese
B3_K2kUVbYOU0VaLcj_LTw|2022-07-20 04:03:51.305741|Thai Villa|['5 E 19th St', 'G Floor', 'New York, NY 10003']|40.73902,-73.99065|4185|4.5|10003|Chinese
SNhDVaf_n7VDZcfry8mYdA|2022-07-20 04:03:51.305754|The Bao|['13 St Marks Pl', 'New York, NY 10003']|40.72939,-73.9889199|1353|4.0|10003|Chinese
xm_-5QZFzJidiUO--PgOYg|2022-07-20 04:03:51.305767|Bites of Xi'an|['60 W 56th St', 'New York, NY 10019']|40.76335868622376,-73.97709537292124|55|4.0|10019|Chinese
TU_BU9HLflYI2xlyqVQdRA|2022-07-20 04:03:51.305781|TAO Uptown|['42 E 58th St', 'New York, NY 10022']|40.76266943713004,-73.97144107883544|2749|3.5|10022|Chinese
mUl0wtO7tPkBocuJqZ-7Dw|2022-07-20 04:03:51.305795|Dun Huang -  Grand Central|['320 Lexington Ave', 'New York, NY 10016']|40.74922,-73.97785|264|4.5|10016|Chinese
sfsjk1h50ooC2ioY7m48gw|2022-07-20 04:03:51.305809|Pig Heaven|['1420 3rd Ave', 'New York, NY 10028']|40.77544,-73.95686|454|4.0|10028|Chinese
C3tP0fNNAoxOAC3O406CXQ|2022-07-20 04:03:51.305822|Le Sia|['651 9th Ave', 'New York, NY 10036']|40.76072,-73.99119|98|4.5|10036|Chinese
qrncvjkiKN5Z-JC06ygy6A|2022-07-20 04:03:51.305835|Hutong|['731 Lexington Ave', 'New York, NY 10022']|40.761551,-73.967443|415|3.5|10022|Chinese
8Oo2AtQEPDfxIOnA8wfXoQ|2022-07-20 04:03:52.244302|886|['26 Saint Marks Pl', 'New York, NY 10003']|40.72877,-73.98873|561|4.0|10003|Chinese
7DnZWIn1Dcsvq-_pIXXFZQ|2022-07-20 04:03:52.244364|Hortus NYC|['271 5th Ave', 'New York, NY 10016']|40.745481,-73.986518|341|4.5|10016|Chinese
Qgv2vyUV-DwK8YwrhU-jtw|2022-07-20 04:03:52.244423|Lan Sheng Restaurant|['128 W 36th St', 'New York, NY 10018']|40.7517141867087,-73.9883603449123|206|4.0|10018|Chinese
scTDvJ2M2jDbb1ntVeIyxA|2022-07-20 04:03:52.244462|Hao Noodle - West Village|['401 6th Ave', 'New York, NY 10014']|40.7334863190479,-73.9998929006093|801|4.0|10014|Chinese
lQ8Fzgji9qmgRXkFcvAsVQ|2022-07-20 04:03:52.244489|Chong Qing Xiao Mian|['796 9th Ave', 'New York, NY 10019']|40.76513,-73.98753|331|4.0|10019|Chinese
oe8GEFE4QLFAKt87y7zcgA|2022-07-20 04:03:52.244517|Very Fresh Noodles|['409 W 15th St', 'New York, NY 10011']|40.74207,-74.00565|1216|4.5|10011|Chinese
l44CFBTejwL0ElKmkH7xQQ|2022-07-20 04:03:52.244541|Decoy|['529 Hudson St', 'New York, NY 10014']|40.734207418277244,-74.006519|445|4.0|10014|Chinese
kXYTWVIPTnCukSo2jfxZ8A|2022-07-20 04:03:52.244558|East River Eatery|['408 E 64th St', 'New York, NY 10065']|40.762351,-73.959067|66|4.5|10065|Chinese
X4hEgOBOLTYFhlWO-gAFxQ|2022-07-20 04:03:52.244572|Tipsy Shanghai|['228 Thompson St', 'New York, NY 10012']|40.72929,-73.99882|345|4.0|10012|Chinese
2UmeXoBQ6zRNn0Zv_VcAjw|2022-07-20 04:03:52.244586|JiangNan 江南食府|['133-42 39th Ave', 'Ste 101', 'Flushing, NY 11354']|40.759239,-73.83256|240|4.5|11354|Chinese
R26zweQ8-xoZS7iHkXQOvw|2022-07-20 04:03:52.244604|Shanghai 21|['21 Mott St', 'New York, NY 10013']|40.71441,-73.99902|1850|4.0|10013|Chinese
qGgQMVExGERqGhZNDM2ROg|2022-07-20 04:03:52.244619|Wu Liang Ye|['36 W 48th St', 'New York, NY 10036']|40.75781,-73.97994|539|3.5|10036|Chinese
bnDfFdiCcPzhuNWUJORvLQ|2022-07-20 04:03:52.244632|Noodle Village|['13 Mott St', 'New York, NY 10013']|40.714167,-73.998803|1278|4.0|10013|Chinese
VW2Epq3C8jqysu6Edpu-RA|2022-07-20 04:03:52.244646|Atlas Kitchen|['258 W 109th St', 'New York, NY 10025']|40.80332,-73.9668|157|4.0|10025|Chinese
s5JNxy0eAFgxS2Poi73ODw|2022-07-20 04:03:52.244660|Mala Project|['41 W 46th St', 'New York, NY 10036']|40.756899,-73.980586|450|4.0|10036|Chinese
l7G5tDA96xbA_bx1ZgkOeg|2022-07-20 04:03:52.244673|ICHIRAN Midtown|['132 W 31st St', 'New York, NY 10001']|40.74839,-73.99062|1095|4.0|10001|Chinese
LVkBYW-FNaZ2h-0zB8-vzA|2022-07-20 04:03:52.244687|Jiang's Kitchen|['65 St Marks Pl', 'New York, NY 10003']|40.72808,-73.98615|28|4.5|10003|Chinese
pPqEu60FMffpiWqk2MCrVA|2022-07-20 04:03:52.244701|Hutaoli Music Restaurant & Bar|['42 W 33rd St', 'New York, NY 10001']|40.748413,-73.9871229|147|4.0|10001|Chinese
qH8PVeddtVs9cKN2pwgdkQ|2022-07-20 04:03:52.244715|Hwa Yuan|['42 E Broadway', 'New York, NY 10002']|40.7137,-73.99598|392|4.0|10002|Chinese
X8ZS-dgiMIJvhwf9SaDnjw|2022-07-20 04:03:52.244729|Wah Fung No 1|['79 Chrystie St', 'New York, NY 10002']|40.71735,-73.99457|1798|4.5|10002|Chinese
Pr-q47vsmM4aoc2t_Sfk8w|2022-07-20 04:03:52.244742|Momofuku Noodle Bar - Uptown|['10 Columbus Cir', 'Third Floor', 'New York, NY 10019']|40.76802583631109,-73.9829243|435|4.0|10019|Chinese
wjIyCBEpCG_HRp8veiI0YQ|2022-07-20 04:03:52.244758|Ootoya Times Square|['141 W 41st St', 'New York, NY 10036']|40.75487,-73.98599|1025|4.0|10036|Chinese
R18bhjYmKxpwfkwGFlWW2g|2022-07-20 04:03:52.244771|Hanbat Restaurant|['53 W 35th St', 'New York, NY 10001']|40.75015,-73.9863|526|3.5|10001|Chinese
R7EGjHWw0tNheY6-ahH8fQ|2022-07-20 04:03:52.244785|Tuome|['536 E 5th St', 'New York, NY 10009']|40.72412482724,-73.9828906263924|612|4.5|10009|Chinese
7B2XMvV5uGuKyl19-HTSvg|2022-07-20 04:03:52.244799|Fogo de Chao Brazilian Steakhouse|['40 W 53rd St', 'New York, NY 10019']|40.7610765,-73.9777711|1484|4.0|10019|Chinese
iM2DKMjyU_R1r8x-3AZGQg|2022-07-20 04:03:52.244813|New Cottage|['2199 Broadway', 'New York, NY 10024']|40.78326357630784,-73.98078454782609|46|4.0|10024|Chinese
Ej-hrhc8HFWfijN4X5akOg|2022-07-20 04:03:52.244828|Dim Sum Palace|['33 W 33rd St', 'New York, NY 10001']|40.7486498128575,-73.98684828079797|176|4.0|10001|Chinese
s25mujxKWphsyFm0Ji1xYA|2022-07-20 04:03:52.244843|Mr Chow|['324 E 57th St', 'New York, NY 10022']|40.7588502019644,-73.9643376320601|408|3.0|10022|Chinese
_fTRTishY3G5dLPLYGCVAw|2022-07-20 04:03:52.244857|Tipsy Shanghai|['594 3rd Ave', 'New York, NY 10016']|40.74879,-73.9761|18|4.0|10016|Chinese
w3wKbjuNCZnYoPOr-FCk5w|2022-07-20 04:03:52.244870|New Moon|['547 2nd Ave', 'New York, NY 10016']|40.742569,-73.977856|195|4.0|10016|Chinese
KSleHGTG1yL1E7OEFFPoNQ|2022-07-20 04:03:52.244884|LaoMa Spicy|['58 E 8th St', 'New York, NY 10003']|40.73089,-73.99343|213|4.0|10003|Chinese
r6r-XK_wL02FQdAgaauTxg|2022-07-20 04:03:52.244898|Kame|['330 8th Ave', 'New York, NY 10001']|40.7474881059799,-73.996648862958|599|4.5|10001|Chinese
Kqb7MjTPNkjPMoFRd-rWpw|2022-07-20 04:03:52.244912|MáLà Project|['122 1st Ave', 'New York, NY 10009']|40.72713,-73.98542|814|4.0|10009|Chinese
QaolMEijS7L6eodSneOdng|2022-07-20 04:03:52.244925|Tri Dim Shanghai West|['467 Columbus Ave', 'New York, NY 10024']|40.78412,-73.97368|178|4.0|10024|Chinese
jjJc_CrkB2HodEinB6cWww|2022-07-20 04:03:52.244939|LoveMama|['174 2nd Ave', 'New York, NY 10003']|40.730408722512074,-73.98612673033213|6022|4.5|10003|Chinese
OvdCm3j_5HzItolfvwrEUA|2022-07-20 04:03:52.244954|Lilli & Loo|['1026 3rd Ave', 'New York, NY 10065']|40.762738760552196,-73.96594827668659|440|3.5|10065|Chinese
ptWTdgSzSpH-0LD24QIH-w|2022-07-20 04:03:52.244969|Wild Ink|['500 W 33rd St', 'Fl 5', 'New York, NY 10001']|40.753754,-74.001388|237|4.0|10001|Chinese
-lgNzAEyFr8LCTuBTWnAMg|2022-07-20 04:03:52.244982|Dim Sum Palace|['28 W 56th St', 'New York, NY 10019']|40.762765496672955,-73.97609185077448|387|4.0|10019|Chinese
wobICp6lQP7Y6dfnJ_4Ujw|2022-07-20 04:03:52.244997|Shun Lee West & Cafe|['43 W 65th St', 'New York, NY 10023']|40.77269583,-73.98150783|516|3.0|10023|Chinese
