business_id|cuisine
XsXLVWr1UZWVhKThNvNiaA|Chinese
h0pRCiJDrCN7tm3VX5tILQ|Chinese
0CjK3esfpFcxIopebzjFxA|Chinese
UK1oGbr8GU2rufpnJR4-HQ|Chinese
BNaveJmi-OUGKG9sRfrIhA|Chinese
EmJ7rfmv2y6lQZxgA8U__g|Chinese
ZWP7yq9C2bhCcLkMR9BmVw|Chinese
xq0cX_DgxiJMXwhmEl9kUA|Chinese
oowNI_aUmGEFa_VW8BFgRg|Chinese
FXhSEZfIqjMZh4hR0_8jMQ|Chinese
4FD0TAxe70nb3ngk3sXF9Q|Chinese
wfhMIiMh2A2psCGONOVSlg|Chinese
bVkjBJlAIwKAj9Aw1KVWjA|Chinese
LT0yyLNM84EiJj9DL0rfHA|Chinese
xCHApgtkLpEyh0lz-uhZvg|Chinese
l1nX-f46dmOEmYPoiuLSaw|Chinese
ojbH3wnRu050hRhkmoxRiA|Chinese
R3UNnA8EbjhNWBHS0wJ0VA|Chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ|Chinese
E_Rxnmim6J2ECFtU0QGlsQ|Chinese
nI1UYDCYUTt23TpGxqnLKg|Chinese
6YehBdKHcLDsvaewhcEjFQ|Chinese
jc7lVTvmYMIK5RNpENtS6w|Chinese
0dDCDQz7DrKkSvu9h2hcQw|Chinese
1dFOF1HPaThSCsdiqR7DrA|Chinese
8plXW6ZQI1awPu1scms3jQ|Chinese
sBCJYLPNJuagg-aJ3Y_ozQ|Chinese
lynQoI3w_pzYfHGeuUU-Qg|Chinese
Bb0h5Rs8ugSM2CjulRhfBw|Chinese
BPErPpKSNluwcjbKRgze3w|Chinese
6dVXDdgzDEVt4DvHzpWo9w|Chinese
53lgp8fFEuK3Yo7yeXc89A|Chinese
3oB2_2vpeIyxJt1GvlcZBA|Chinese
NN3mOWF5e_pnR1ArqM2bHQ|Chinese
Ece_DRuD1yQjRPJBAebRpw|Chinese
A-ert0jDRBfku9ogyW_mEg|Chinese
M-odQWSEfsR2mVEw7nKG-g|Chinese
-J8VuX3wGrYSOBu2G0hMsw|Chinese
wDuf4Qz9qsC62amLZgWNJQ|Chinese
croh2zWlbPyCQTNS11klcg|Chinese
pCfGgX0WxGASGM4-Yhr2Pw|Chinese
1jAB_uaI8-P_wSqOo2S3KQ|Chinese
B3_K2kUVbYOU0VaLcj_LTw|Chinese
SNhDVaf_n7VDZcfry8mYdA|Chinese
xm_-5QZFzJidiUO--PgOYg|Chinese
TU_BU9HLflYI2xlyqVQdRA|Chinese
mUl0wtO7tPkBocuJqZ-7Dw|Chinese
sfsjk1h50ooC2ioY7m48gw|Chinese
C3tP0fNNAoxOAC3O406CXQ|Chinese
qrncvjkiKN5Z-JC06ygy6A|Chinese
8Oo2AtQEPDfxIOnA8wfXoQ|Chinese
7DnZWIn1Dcsvq-_pIXXFZQ|Chinese
Qgv2vyUV-DwK8YwrhU-jtw|Chinese
scTDvJ2M2jDbb1ntVeIyxA|Chinese
lQ8Fzgji9qmgRXkFcvAsVQ|Chinese
oe8GEFE4QLFAKt87y7zcgA|Chinese
l44CFBTejwL0ElKmkH7xQQ|Chinese
kXYTWVIPTnCukSo2jfxZ8A|Chinese
X4hEgOBOLTYFhlWO-gAFxQ|Chinese
2UmeXoBQ6zRNn0Zv_VcAjw|Chinese
R26zweQ8-xoZS7iHkXQOvw|Chinese
qGgQMVExGERqGhZNDM2ROg|Chinese
bnDfFdiCcPzhuNWUJORvLQ|Chinese
VW2Epq3C8jqysu6Edpu-RA|Chinese
s5JNxy0eAFgxS2Poi73ODw|Chinese
l7G5tDA96xbA_bx1ZgkOeg|Chinese
LVkBYW-FNaZ2h-0zB8-vzA|Chinese
pPqEu60FMffpiWqk2MCrVA|Chinese
qH8PVeddtVs9cKN2pwgdkQ|Chinese
X8ZS-dgiMIJvhwf9SaDnjw|Chinese
Pr-q47vsmM4aoc2t_Sfk8w|Chinese
wjIyCBEpCG_HRp8veiI0YQ|Chinese
R18bhjYmKxpwfkwGFlWW2g|Chinese
R7EGjHWw0tNheY6-ahH8fQ|Chinese
7B2XMvV5uGuKyl19-HTSvg|Chinese
iM2DKMjyU_R1r8x-3AZGQg|Chinese
Ej-hrhc8HFWfijN4X5akOg|Chinese
s25mujxKWphsyFm0Ji1xYA|Chinese
_fTRTishY3G5dLPLYGCVAw|Chinese
w3wKbjuNCZnYoPOr-FCk5w|Chinese
KSleHGTG1yL1E7OEFFPoNQ|Chinese
r6r-XK_wL02FQdAgaauTxg|Chinese
Kqb7MjTPNkjPMoFRd-rWpw|Chinese
QaolMEijS7L6eodSneOdng|Chinese
jjJc_CrkB2HodEinB6cWww|Chinese
